shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
c75e0b4b-1197-4ad8-9e85-cb47a54ffca1,40.4262741164133,-86.9191743087276,16,2459.27
310c2506-8414-40ca-b304-b19618f5ed19,40.4213294637996,-86.9023327173193,10,1226.06
3ee56318-fb12-4080-b885-3f00f42c3889,40.3997443854656,-86.8717152995894,33,6950.52
0428a67a-0ab2-456c-8003-cc3a09250507,40.4313729960545,-86.9179606090761,10,1265.51
a347ba66-c983-4f5f-9910-7f93a4f9e742,40.410062844161,-86.8930375214241,7,1396.98
eb38ce03-3d10-4bd1-8f54-670536841cf5,40.4205180955242,-86.8435668554048,41,7682.1
63fef74e-f48d-4147-b8e0-4e1d568310ae,40.4164384553694,-86.8930616613067,61,12627.83
d051090e-23be-4481-bb10-0053a0a7e477,40.4328938086566,-86.861887685173,55,9601.92
c5baae91-fc0f-4e19-a4e4-4d96568f0cd5,40.4161,-86.83887,36,5563.93
addcc1e5-06e9-4561-94bc-08c43323e2f6,40.364944,-86.862113,3,269.58
17a88b33-a925-4f57-921d-3888aab37911,40.4605165398429,-86.9307265836434,4,664.73
484c7f00-8367-41c4-9ab6-5e78dd4bc0c4,40.4604360735676,-86.9244582608019,27,5856.23
37cbb5a5-e7d4-4969-be0f-fa4e187d8fc3,40.4218793166804,-86.8906181687485,82,13590.13
2f24c6d2-3f4d-4496-aa26-f5d68b553f8c,40.4242718472643,-86.9290434973862,9,2015.53
d2af05f0-b5f8-496f-8160-727ee3a9dc35,40.4304100829607,-86.913209075523,13,1698.76
8e4b831a-3dfa-4228-9215-58d0faacf5b0,40.392677,-86.848871,3,232.38
3501c989-ea44-4a9e-a960-cd2195cb1f48,40.4182543109807,-86.8905859822384,28,5168.75
310c2506-8414-40ca-b304-b19618f5ed19,40.4182006667972,-86.8973384438359,5,652.8
2c6a92ab-a79b-487e-bdb8-2c4b2341b775,40.4338325818677,-86.8744659050981,21,3557.02
eb38ce03-3d10-4bd1-8f54-670536841cf5,40.4207943630692,-86.839142551371,42,8057.64
310c2506-8414-40ca-b304-b19618f5ed19,40.460649309197,-86.9161903510207,38,7917.08
8a374ec5-265a-4d89-8f85-2cc7b4bd8fed,40.4247828081121,-86.8940125044592,16,3218.14
b7b23162-ed2f-4fde-9802-07b56e05c85d,40.4189315687973,-86.8760323152561,45,11962.63
d051090e-23be-4481-bb10-0053a0a7e477,40.394007,-86.836989,17,2240.16
9ee329f8-6535-47b6-9a81-780ef1cd14ae,40.3914281959193,-86.8463456241098,4,329.99
b7b23162-ed2f-4fde-9802-07b56e05c85d,40.4177125047274,-86.843884697192,26,7814.89
8e4b831a-3dfa-4228-9215-58d0faacf5b0,40.4182543109807,-86.8905859822384,28,5168.75
2c6a92ab-a79b-487e-bdb8-2c4b2341b775,40.4377271495895,-86.8713813645471,24,4251.56
6cf8d7f3-d796-448e-93a9-3463ced8703f,40.4223312689263,-86.9305643099883,11,2370.8
d8bebeb5-1c54-4eee-b5b0-cdd545d80539,40.4173343132337,-86.8818580735837,8,1447.58
a6b6415e-8888-40ca-b70d-4d5f8faa7f29,40.434413,-86.925697,1,115.57
94887bab-c69d-4fd8-809c-e9da2d717d05,40.3823194135618,-86.8874893717461,36,7703.56
bf663516-186c-4a62-aa3e-9147a59a3f5b,40.4607431865181,-86.9267904416794,41,8815.68
348b0c01-e2e6-42fc-ada8-ba99e7980d2f,40.4027015210808,-86.8605626738407,18,3951.32
addcc1e5-06e9-4561-94bc-08c43323e2f6,40.396265560166,-86.8953415391053,44,9767.92
6f8073c3-1bd7-41dd-bc1d-4beaf3d5f529,40.4206991446435,-86.89494,0,0
17a88b33-a925-4f57-921d-3888aab37911,40.4510322482009,-86.9158818969656,13,2965.01
3842dd59-57d2-45dc-9e3d-ed2a6b120608,40.4182395588302,-86.895391159975,9,1030.25
b9ab1d88-7011-46c9-a563-b58810a0eb30,40.417298,-86.893062,70,15159.02
485246bf-8717-4ca3-a5ee-36cefac667cc,40.424095,-86.911233,0,0
022f91d5-beef-4f92-a267-dd9e20ff64e4,40.4218645645299,-86.9273416356648,12,1854.86
b5ead823-3c19-4d85-b487-03c38faadf38,40.4206991446435,-86.89494,16,2887.97
fc4537ab-7936-4701-ba96-f78dfff76d35,40.3768691645187,-86.8760095164782,22,5155.99
92573703-921e-4232-b2c7-3c8b2b1f8a4a,40.4221703363758,-86.9122139759191,5,1537.09
9ee329f8-6535-47b6-9a81-780ef1cd14ae,40.4206991446435,-86.89494,52,11029.91
6fc9bc14-1795-4b90-89dd-9bd373fa4ab2,40.458675,-86.941505,57,11411.23
d8f263a5-a9e8-4fc7-9bcb-99e1ad068978,40.4218954099354,-86.8892971807299,76,13451.69
0cd5be5e-6217-4582-8f41-2ca2c8984197,40.4543166133354,-86.9618965364633,48,11703.15
63bf7988-81b1-4a57-8ab4-0233f9044b48,40.46451,-86.899675,65,13355.89
63bf7988-81b1-4a57-8ab4-0233f9044b48,40.452922,-86.906391,33,7235.45
719a75ff-363e-4b35-af90-f051e84d03f8,40.4102331644436,-86.8671005587042,22,6938.67
c5baae91-fc0f-4e19-a4e4-4d96568f0cd5,40.4320971925316,-86.88229259147,66,11690.95
c8c7121c-616c-47b6-bed0-eb56731f9a8a,40.4313850659958,-86.9104490822821,27,5930.1
d8f263a5-a9e8-4fc7-9bcb-99e1ad068978,40.4209204269004,-86.8391707145674,38,6105.25
c0d7aa31-c639-48bd-8b4f-ea1a8dfe3870,40.39735,-86.85272,9,978.12
17a88b33-a925-4f57-921d-3888aab37911,40.4598701274318,-86.9340042432549,2,366.72
8a374ec5-265a-4d89-8f85-2cc7b4bd8fed,40.429116,-86.891767,17,3735.75
8adb4399-297d-4448-b593-285b0a2a427f,40.4257725432976,-86.9015495122403,22,3630.01
9b1f9e8d-d803-40e5-880f-820f8c8c9bad,40.3934398528004,-86.8763769791351,14,2713.85
b9ab1d88-7011-46c9-a563-b58810a0eb30,40.3952718016667,-86.8967094657844,51,12039.4
d8bebeb5-1c54-4eee-b5b0-cdd545d80539,40.402873182468,-86.8513573319529,25,5789.77
719a75ff-363e-4b35-af90-f051e84d03f8,40.4028383137487,-86.8604097879177,14,5376.88
719a75ff-363e-4b35-af90-f051e84d03f8,40.4029831530442,-86.851298323351,12,4605.71
d8bebeb5-1c54-4eee-b5b0-cdd545d80539,40.4027417542185,-86.860704830927,22,4998.62
0d22d965-dbae-42fd-9252-4e45d14ca76a,40.4029831530442,-86.851298323351,12,4605.73
0d22d965-dbae-42fd-9252-4e45d14ca76a,40.4028383137487,-86.8604097879177,14,5376.9
d8bebeb5-1c54-4eee-b5b0-cdd545d80539,40.4027725996239,-86.8560847256234,24,5389.59
2c15a91c-1b19-4a36-ae6d-ca85ab2f054e,40.4165229449584,-86.8776282297151,21,3979.21
9a7fda5b-d7fd-47de-9bd3-54c5f06c3d53,40.4598701274318,-86.9340042432549,2,348.92
4a0b5f4f-a628-43d4-adbe-3e4c971f883c,40.4241672411065,-86.9136838265469,16,2503.29
d8f263a5-a9e8-4fc7-9bcb-99e1ad068978,40.4007287562328,-86.8384223782076,24,3110.5
8e4b831a-3dfa-4228-9215-58d0faacf5b0,40.409679288249,-86.8699262660698,16,2977.51
8adb4399-297d-4448-b593-285b0a2a427f,40.4315084476178,-86.9216540111097,33,5565.14
63fef74e-f48d-4147-b8e0-4e1d568310ae,40.3942324456115,-86.9002915561373,42,9283.74
addcc1e5-06e9-4561-94bc-08c43323e2f6,40.3679293613392,-86.8758874759607,11,1726.68
addcc1e5-06e9-4561-94bc-08c43323e2f6,40.3876301877278,-86.9122099526054,34,7414.25
06f74db6-9086-4f2c-8f2c-981b5c5a5a1a,40.39735,-86.85272,9,978.12
53d05c93-4a7e-43d7-9dea-353b06f02a04,40.4185332607349,-86.9103055840913,11,2390.21
828c66cd-6de9-4f27-b1f7-75fc65645064,40.422134126552,-86.8510233969106,25,4710.57
2c15a91c-1b19-4a36-ae6d-ca85ab2f054e,40.392677,-86.848871,3,232.38
addcc1e5-06e9-4561-94bc-08c43323e2f6,40.4069447759953,-86.8976415334726,53,11363.25
7e5bcc89-c591-4c40-a682-9490c17d6490,40.4313206929756,-86.9104276246087,26,5919.15
580cd0be-953c-4115-8301-ee79b76f3661,40.3870333961864,-86.8401054644648,49,10666.89
022f91d5-beef-4f92-a267-dd9e20ff64e4,40.4290502029091,-86.9215319705922,22,3595.32
92365c4a-4bfd-4943-9183-02d3b27a0d01,40.431337,-86.91664,25,7201.68
06f74db6-9086-4f2c-8f2c-981b5c5a5a1a,40.418282474177,-86.8794977295099,23,4230.69
7e5bcc89-c591-4c40-a682-9490c17d6490,40.4196356487057,-86.900539660486,43,9513.35
d96683a2-7a4e-4c32-81eb-48e520b12ff0,40.4218980921446,-86.8869542710158,37,7138.32
484c7f00-8367-41c4-9ab6-5e78dd4bc0c4,40.4619220174505,-86.9244850828937,28,6021.36
eadf53d7-3cf5-44f5-922f-0a904da3b1bf,40.4212194932234,-86.8943196174097,27,5156.79
28353004-fec2-4ee4-859b-6a1f752e3a88,40.4362532756479,-86.8815134097048,7,1581.87
c5baae91-fc0f-4e19-a4e4-4d96568f0cd5,40.4007287562328,-86.8384223782076,24,3105.81
b5ead823-3c19-4d85-b487-03c38faadf38,40.4267421619142,-86.8921845789066,13,2162.5
a347ba66-c983-4f5f-9910-7f93a4f9e742,40.3782317267794,-86.8763488159388,40,9023.36
9bde8dbc-c065-4027-9a41-f1810f2fb8f8,40.4291132348247,-86.8823301423985,12,2434.82
3ee56318-fb12-4080-b885-3f00f42c3889,40.4182569931899,-86.8886199229133,46,10165.46
63fef74e-f48d-4147-b8e0-4e1d568310ae,40.3925734992369,-86.9139480241506,35,7983.12
06f74db6-9086-4f2c-8f2c-981b5c5a5a1a,40.420012,-86.893078,31,5571.23
f5dfaded-5f18-44e6-baf6-c1bffc8ee5b8,40.420942,-86.894253,52,10936.63
5e4a1d70-5756-41a5-9b0e-2f457251174b,40.4212530208381,-86.9265852526775,27,5379.35
63fef74e-f48d-4147-b8e0-4e1d568310ae,40.3643,-86.861252,2,167.43
4590b8b2-3c4c-4a99-8862-fe6f5e15ef95,40.4592773592041,-86.9401223623826,9,1903.54
f5dfaded-5f18-44e6-baf6-c1bffc8ee5b8,40.4206991446435,-86.89494,53,11000.71
580cd0be-953c-4115-8301-ee79b76f3661,40.3818795312571,-86.8491364627562,45,9621.18
c75e0b4b-1197-4ad8-9e85-cb47a54ffca1,40.4272718982262,-86.9191716265185,15,2348.4
9a7fda5b-d7fd-47de-9bd3-54c5f06c3d53,40.4518851907185,-86.9266415790702,5,1508.04
0615f22b-e3b2-4b51-b7c1-e0a4027d98f7,40.4722,-86.9459,0,0
3501c989-ea44-4a9e-a960-cd2195cb1f48,40.418259675399,-86.8930415447379,30,5376.49
4aecdd6a-754a-4704-80e5-9b2c34b83cc2,40.4565374825321,-86.9619099475092,49,11947.7
b9ab1d88-7011-46c9-a563-b58810a0eb30,40.4081933443661,-86.8965632853844,63,13976.21
c3b28356-ec91-45f0-b1ac-5cc5d27bda06,40.4063117746301,-86.8344728251978,50,10036.26
584fc5fd-1f0f-47f0-9bf4-3eb10ec2caeb,40.4179378102981,-86.8391090237563,49,10155.76
37cbb5a5-e7d4-4969-be0f-fa4e187d8fc3,40.4264685765784,-86.8470832316329,45,7347.03
8680db25-a097-4992-9abb-5fe7ca414551,40.424095,-86.911233,0,0
06f74db6-9086-4f2c-8f2c-981b5c5a5a1a,40.4027109088129,-86.8602609253085,12,1851.18
0cd5be5e-6217-4582-8f41-2ca2c8984197,40.4586980020224,-86.9619582272743,50,12190.05
580cd0be-953c-4115-8301-ee79b76f3661,40.4172551880631,-86.8942458566574,2,402.26
0cd5be5e-6217-4582-8f41-2ca2c8984197,40.4674124996312,-86.947381761514,56,14379.88
828c66cd-6de9-4f27-b1f7-75fc65645064,40.4146,-86.8243,40,7921.18
9bde8dbc-c065-4027-9a41-f1810f2fb8f8,40.4321749765977,-86.8814450133708,9,2035.09
