route_id,service_id,trip_id,shape_id,trip_headsign,direction_id,block_id
df6be418-4504-4a4e-84db-262314a5d83d,b71be945-f50e-4364-bf1f-6b7bc90a7769,6355e8b7-84fc-4aa2-ab55-b704b4c58ebc,53d05c93-4a7e-43d7-9dea-353b06f02a04,"Connector to Lilly Hall & Downtown Lafayette",1,943515e6-3907-4187-a9ae-bf1052ca0a58
e5a0ef68-519e-4042-8a27-e3fe6f782437,b71be945-f50e-4364-bf1f-6b7bc90a7769,5ddb66e2-aec1-4fe9-b175-3040f63fffaf,bc8e8277-d971-4f58-8a16-b7ca8dd356ee,"Express to Avenue Apts North and South from Campus",1,b8b7450f-7013-4d83-9ab0-1add7867ee76
530043d6-a2a6-43f9-be35-b11cf91743bc,81ffce56-5294-48f9-b870-e510c336fbb1,65b776bf-ba25-4e92-8ebe-edbbd310f158,584fc5fd-1f0f-47f0-9bf4-3eb10ec2caeb,"Market Square to Tippecanoe Mall",0,2c240581-88ee-4369-91b5-fe9fc5fcdb73
f6f23df7-ffc1-42a7-9d2d-8a383a137929,81ffce56-5294-48f9-b870-e510c336fbb1,be897a7b-e46e-47b9-a760-5b06a72f56f3,06f74db6-9086-4f2c-8f2c-981b5c5a5a1a,"Tippecanoe Mall to CityBus Center",0,8e42b0b4-8eef-4bb6-8daf-0bc41b79bfb7
617e32b0-900c-4a4c-a049-4c82422ccdf2,a7badaf7-5e70-48a1-a1e7-16896bd58cef,9b557bf8-73b9-490c-95de-69e139f78c20,f74e88b8-ee5b-417b-b2af-748b8bb4505f,"Silver Loop to/from Dorms & Dining Halls & Campus",0,a3c94dc7-ed39-431d-8388-dd1432d53357
a58524c6-1012-4a58-a65d-9ca2cd2b10d4,a3c2dfaa-9e17-4e52-a6a6-15f5d18690f8,fa9399a8-2bab-4a11-b5ec-83ab51a368a2,3ee56318-fb12-4080-b885-3f00f42c3889,"Lafayette Square to CityBus Center",0,08e82493-6577-423c-a8de-488b0a9282d2
87f0662c-8578-408d-b29b-89bc2e64cce9,f1eabeb2-f736-4baa-b241-725acb8c3e78,5157ca90-8c27-4ebd-aa85-cedfea9c5043,94887bab-c69d-4fd8-809c-e9da2d717d05,"4th St to to Veterans Memorial Pkwy S / Ben Xing",0,fa6190e7-09a5-4389-882e-6bbab6953b58
cf0bae5f-509a-4e64-83ce-58e219ac2117,b71be945-f50e-4364-bf1f-6b7bc90a7769,08dc9c27-6619-45cd-9540-f5bc2fb9763a,a3f7e3bc-9116-47f6-995a-36eb8b0bd3a7,"to ",0,9746a695-34fb-4177-ac46-5fe31c090775
89b25b67-87df-413b-82b1-003f39e52665,f1eabeb2-f736-4baa-b241-725acb8c3e78,18d3ef51-6212-4d99-a7e6-fc367739a475,c8c7121c-616c-47b6-bed0-eb56731f9a8a,"Salisbury to CityBus Center",0,ef9ab31b-bde4-4fdc-ab1f-33a649b2043b
617e32b0-900c-4a4c-a049-4c82422ccdf2,a7badaf7-5e70-48a1-a1e7-16896bd58cef,f2965eb1-c9c1-4f1b-a532-3dd45da2cc1e,f74e88b8-ee5b-417b-b2af-748b8bb4505f,"Silver Loop to/from Dorms & Dining Halls & Campus",0,7e849e6c-f033-4357-b129-9e1b51ba80a5
